name,market,city,status,efficiency_score,total_funding
Adify, Advertising ,San Bruno,acquired,60.4,27000000.0
Fastpoint Games, Facebook Applications ,Los Angeles,acquired,60.4,5900000.0
gdgt, Blogging Platforms ,San Francisco,acquired,60.4,3715000.0
Purewire, Reputation ,Atlanta,acquired,60.4,4750000.0
Simperium, Mobile ,San Francisco,acquired,60.4,0.0
Lascaux Co., Design ,New York,acquired,60.3,700000.0
ThinkNear, Advertising ,New York,acquired,60.3,1630000.0
Trendslide, Mobile ,Manchester,acquired,60.3,125000.0
Unsubscribe.com, Curated Web ,Santa Monica,acquired,60.3,2100000.0
WeHostels, Mobile ,New York,acquired,60.3,1265000.0
Infinity Box, Payments ,Tampa,acquired,60.1,118000.0
Agencourt Bioscience, Biotechnology ,Beverly,acquired,60.0,0.0
Assemblage, Real Time ,San Francisco,acquired,60.0,28000.0
Attassa, Email ,Kirkland,acquired,60.0,0.0
Auctomatic, Auctions ,San Francisco,acquired,60.0,400000.0
Avot Media, Mobile ,Sunnyvale,acquired,60.0,0.0
Behavio, Software ,Sunnyvale,acquired,60.0,355000.0
BeliefNet, Curated Web ,New York,acquired,60.0,7000000.0
Bundle, Curated Web ,New York,acquired,60.0,0.0
Carbon Ads, Advertising ,Seattle,acquired,60.0,0.0
CarZen, Cars ,New York,acquired,60.0,350000.0
Cie Games, Games ,Long Beach,acquired,60.0,3000000.0
Circle of Moms, Social Network Media ,San Francisco,acquired,60.0,0.0
Cookstr, Hospitality ,New York,acquired,60.0,0.0
CTSpace, Software ,San Francisco,acquired,60.0,5300000.0
DataPad, Analytics ,San Francisco,acquired,60.0,1700000.0
Digital Media Broadcast, Digital Media ,Hollywood,acquired,60.0,3100000.0
dotSyntax, Messaging ,Rochester,acquired,60.0,500000.0
Echograph, Photography ,El Segundo,acquired,60.0,250000.0
FantasyBook, Facebook Applications ,Daly City,acquired,60.0,0.0
Gameview Studios, Games ,Mountain View,acquired,60.0,50000.0
Glassmap, Mobile ,Mountain View,acquired,60.0,0.0
GrandCentral, Mobile ,Fremont,acquired,60.0,4000000.0
Hackermeter, Recruiting ,San Francisco,acquired,60.0,0.0
